"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","mu.survival.max","max.RNA.DNA.ratio","mu.fast.max","mu.affinity.max"
"1","015939d16a300f5e8d7203294694f87c","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,NA,NA,4.43174652826365,NA
"2","0373d8feb79b63d31920b310687b2a49","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14","metagenome",NA,NA,NA,2.84765187120543
"3","052a4d62361897304a5dda2647a19f65","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae",NA,NA,NA,NA,NA,5.86205681749243
"4","0701780b59a0f7890ca0407a629e08ba","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,6.31980866253398,1.00376302479892,NA,NA
"5","0a4b2055917b178736510e8b9f61a454","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter",NA,NA,NA,4.81621832573527,NA
"6","1225747856ca1a1ee7e8446b55cdf07d","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter","metagenome",NA,NA,4.76060713789486,NA
"7","1613b92fd74375aecc4ea039606066df","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured","Gaiella_sp.",5.97545671916712,1.71483641746854,NA,NA
"8","189f8800b6eeb54a1aad93a0d09141d6","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,NA,NA,5.51744979193573,NA
"9","1a23488fe39040978c3d7c708b7dbab9","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","JCM_18997","metagenome",NA,NA,4.48457072483431,NA
"10","1b3706faae684a92f76f9033bad50988","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Jeotgalibacillus",NA,NA,NA,3.90299910367471,NA
"11","1e227a726966f683cbf019137d05f7c7","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA,NA,3.67580636304379,NA
"12","20040b9b4d26ec1440d6c76c85cf831c","Bacteria","Chloroflexi","AD3","AD3","AD3","AD3","uncultured_Chloroflexi",NA,NA,NA,1.84138566589598
"13","206e6ee38322c75b7610a70f964c738c","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA,3.68607195878924,6.52820993193981,NA,NA
"14","23063295bad8f8caedc5ba7cdf2c6dbf","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured_Gemmatimonadales",NA,NA,NA,2.42358239834243
"15","2379b9d838162b0915173844b55fc167","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","uncultured_sludge",NA,NA,NA,5.35224686089989
